side,entry_time,exit_time,layer
1,2026-07-29 11:18:16.759000+00:00,2026-07-29 11:32:34.621000+00:00,B
1,2026-07-29 11:47:21.207000+00:00,2026-07-29 11:50:06.900000+00:00,C
1,2026-07-29 18:45:24.204000+00:00,2026-07-29 18:46:30.387000+00:00,C
-1,2026-07-31 11:40:33.596000+00:00,2026-07-31 13:01:10.127000+00:00,C
-1,2026-08-03 11:23:09.539000+00:00,2026-08-03 11:49:12.096000+00:00,C
1,2026-08-04 11:47:23.922000+00:00,2026-08-04 11:49:02.557000+00:00,C
1,2026-08-04 11:52:04.114000+00:00,2026-08-04 11:52:18.821000+00:00,B
1,2026-08-04 17:00:35.726000+00:00,2026-08-04 17:06:48.109000+00:00,C
1,2026-08-05 11:28:46.484000+00:00,2026-08-05 11:33:06.098000+00:00,C
1,2026-08-05 11:33:05.530000+00:00,2026-08-05 11:39:55.766000+00:00,C
1,2026-08-05 11:52:55.491000+00:00,2026-08-05 11:59:34.729000+00:00,C
-1,2026-08-06 15:55:32.220000+00:00,2026-08-06 16:08:16.595000+00:00,C
-1,2026-08-06 16:15:57.074000+00:00,2026-08-06 16:17:00.099000+00:00,C
1,2026-08-07 11:03:16.124000+00:00,2026-08-07 11:10:13.197000+00:00,C
1,2026-08-07 11:30:38.840000+00:00,2026-08-07 12:06:04.560000+00:00,C
1,2026-08-07 11:26:24.853000+00:00,2026-08-07 12:15:13.345000+00:00,C
1,2026-08-10 17:39:27.729000+00:00,2026-08-10 18:26:35.868000+00:00,C
1,2026-08-10 18:25:43.267000+00:00,2026-08-10 18:32:00.223000+00:00,C
1,2026-08-10 18:31:12.797000+00:00,2026-08-10 18:32:00.223000+00:00,C
-1,2026-08-13 18:25:52.855000+00:00,2026-08-13 19:16:00.139000+00:00,C
-1,2026-08-13 18:52:30.832000+00:00,2026-08-13 19:16:00.139000+00:00,C
1,2026-08-14 11:50:27.512000+00:00,2026-08-14 11:51:24.134000+00:00,B
1,2026-08-14 11:35:03.958000+00:00,2026-08-14 12:09:00.389000+00:00,C
1,2026-08-17 15:55:10.986000+00:00,2026-08-17 17:24:11.962000+00:00,C
-1,2026-08-18 15:18:50.645000+00:00,2026-08-18 15:19:10.923000+00:00,C
1,2026-08-19 11:01:00.546000+00:00,2026-08-19 11:09:41.560000+00:00,C
1,2026-08-19 11:15:10.910000+00:00,2026-08-19 12:03:15.744000+00:00,C
-1,2026-08-20 11:45:32.045000+00:00,2026-08-20 11:47:51.808000+00:00,C
-1,2026-08-20 11:50:30.337000+00:00,2026-08-20 12:03:04.057000+00:00,C
-1,2026-08-21 11:53:15.910000+00:00,2026-08-21 12:01:11.334000+00:00,C
1,2026-08-24 11:09:03.864000+00:00,2026-08-24 11:14:46.767000+00:00,C
