signal_idx,entry_idx,exit_idx,direction,entry,exit,pnl
171,172,176,1,5178.135,5178.665,0.5299999999997453
331,332,336,-1,5198.565,5197.248,1.3170000000000073
340,341,345,-1,5197.058,5202.705,-5.6469999999999345
358,359,363,-1,5202.098,5193.465,8.63299999999981
540,541,545,1,5184.705,5182.265,-2.4399999999996
620,621,625,1,5177.905,5172.605,-5.300000000000182
632,633,637,1,5173.895,5176.795,2.899999999999636
671,672,676,-1,5164.665,5156.595,8.069999999999709
755,756,760,1,5179.485,5183.365,3.880000000000109
781,782,786,1,5183.725,5188.015,4.289999999999964
817,818,822,-1,5188.475,5188.965,-0.4899999999997817
871,872,876,1,5174.735,5172.755,-1.9799999999995634
883,884,888,1,5172.015,5178.255,6.239999999999782
1178,1179,1183,-1,5202.025,5202.235,-0.21000000000003638
1185,1186,1190,1,5204.578,5202.298,-2.280000000000655
1197,1198,1202,1,5205.698,5199.585,-6.113000000000284
1230,1231,1235,1,5184.93,5185.455,0.5249999999996362
1259,1260,1264,1,5151.905,5155.845,3.9400000000005093
1380,1381,1385,1,5161.885,5158.695,-3.1900000000005093
1386,1387,1391,1,5159.618,5161.685,2.0670000000000073
1440,1441,1445,-1,5191.195,5192.935,-1.7400000000006912
1466,1467,1471,1,5183.095,5182.695,-0.4000000000005457
1591,1592,1596,1,5189.028,5186.785,-2.243000000000393
1710,1711,1715,-1,5199.665,5200.505,-0.8400000000001455
1888,1889,1893,-1,5177.155,5172.095,5.059999999999491
1895,1896,1900,-1,5174.535,5171.565,2.9700000000002547
2040,2041,2045,-1,5169.925,5175.355,-5.4299999999993815
2100,2101,2105,-1,5165.145,5163.445,1.7000000000007276
2160,2161,2165,-1,5182.585,5178.895,3.6899999999996
2255,2256,2260,-1,5166.475,5161.015,5.460000000000036
2262,2263,2267,-1,5165.615,5168.075,-2.4600000000000364
2284,2285,2289,1,5167.298,5166.895,-0.4029999999993379
2312,2313,2317,-1,5148.665,5163.545,-14.88000000000011
2484,2485,2489,-1,5174.275,5176.925,-2.6500000000005457
2495,2496,2500,1,5168.335,5176.065,7.729999999999563
2600,2601,2605,-1,5194.995,5195.315,-0.31999999999970896
2613,2614,2618,1,5193.505,5198.575,5.069999999999709
2620,2621,2625,1,5197.495,5199.715,2.2200000000002547
2628,2629,2633,-1,5199.765,5191.848,7.917000000000371
2763,2764,2768,-1,5180.025,5182.355,-2.3299999999999272
2781,2782,2786,-1,5192.365,5188.498,3.867000000000189
2787,2788,2792,-1,5188.758,5187.948,0.8099999999994907
2796,2797,2801,1,5177.385,5171.635,-5.75
2820,2821,2825,1,5174.255,5175.285,1.0299999999997453
2827,2828,2832,1,5168.455,5176.385,7.930000000000291
2889,2890,2894,1,5195.568,5194.068,-1.5
2903,2904,2908,1,5186.548,5184.148,-2.399999999999636
3098,3099,3103,-1,5193.295,5192.148,1.1469999999999345
3124,3125,3129,-1,5193.305,5194.328,-1.0230000000001382
3244,3245,3249,-1,5180.315,5180.405,-0.09000000000014552
3391,3392,3396,1,5174.935,5171.915,-3.0200000000004366
3451,3452,3456,-1,5178.075,5176.618,1.4569999999994252
3467,3468,3472,-1,5180.068,5180.375,-0.306999999999789
3479,3480,3484,1,5185.465,5186.555,1.0900000000001455
3503,3504,3508,-1,5186.675,5187.025,-0.3499999999994543
3509,3510,3514,-1,5186.575,5185.325,1.25
3525,3526,3530,-1,5184.885,5184.195,0.6900000000005093
3531,3532,3536,-1,5183.825,5186.405,-2.5799999999999272
3564,3565,3569,-1,5234.615,5234.708,-0.0929999999998472
3809,3810,3814,-1,5228.395,5228.265,0.13000000000010914
3864,3865,3869,1,5227.815,5230.145,2.3300000000008367
3960,3961,3965,-1,5250.035,5251.515,-1.480000000000473
3978,3979,3983,1,5255.098,5261.305,6.207000000000335
3991,3992,3996,-1,5259.379,5257.345,2.0339999999996508
4010,4011,4015,1,5262.298,5263.085,0.7870000000002619
4018,4019,4023,-1,5262.148,5261.005,1.143000000000029
4081,4082,4086,1,5318.718,5339.998,21.279999999999745
4121,4122,4126,-1,5383.595,5384.565,-0.9699999999993452
4199,4200,4204,1,5342.405,5334.225,-8.179999999999382
4207,4208,4212,-1,5327.035,5338.225,-11.19000000000051
4530,4531,4535,-1,5379.805,5376.605,3.2000000000007276
4539,4540,4544,1,5378.065,5380.025,1.9600000000000364
4567,4568,4572,1,5393.555,5405.885,12.329999999999927
4577,4578,4582,-1,5415.608,5413.755,1.8530000000000655
4583,4584,4588,-1,5413.375,5408.285,5.0900000000001455
4846,4847,4851,1,5380.975,5382.525,1.5499999999992724
4864,4865,4869,-1,5389.535,5393.705,-4.170000000000073
4870,4871,4875,1,5394.875,5386.125,-8.75
4927,4928,4932,1,5401.095,5386.698,-14.396999999999935
4934,4935,4939,-1,5382.455,5396.315,-13.859999999999673
5003,5004,5008,1,5347.985,5333.005,-14.979999999999563
5009,5010,5014,-1,5333.005,5326.758,6.247000000000298
5015,5016,5020,-1,5330.255,5349.615,-19.359999999999673
5045,5046,5050,1,5319.498,5335.245,15.747000000000298
5062,5063,5067,-1,5331.538,5330.545,0.9929999999994834
5321,5322,5326,1,5328.875,5328.345,-0.5299999999997453
5348,5349,5353,-1,5338.955,5337.065,1.8900000000003274
5368,5369,5373,1,5333.205,5337.275,4.069999999999709
5464,5465,5469,-1,5342.848,5333.135,9.712999999999738
5583,5584,5588,1,5362.595,5368.015,5.420000000000073
5594,5595,5599,-1,5369.285,5373.355,-4.069999999999709
5626,5627,5631,1,5350.865,5361.275,10.409999999999854
5634,5635,5639,1,5351.435,5333.565,-17.8700000000008
5640,5641,5645,-1,5336.445,5347.135,-10.69000000000051
5726,5727,5731,1,5368.088,5368.495,0.4070000000001528
5830,5831,5835,1,5365.308,5353.685,-11.622999999999593
5852,5853,5857,-1,5343.835,5336.315,7.520000000000437
5868,5869,5873,1,5325.855,5316.705,-9.149999999999636
5875,5876,5880,1,5312.135,5321.655,9.519999999999527
5893,5894,5898,1,5289.115,5302.285,13.170000000000073
6053,6054,6058,1,5302.048,5295.445,-6.6030000000000655
6060,6061,6065,1,5301.685,5287.675,-14.010000000000218
6071,6072,6076,1,5297.255,5301.445,4.1899999999996
6085,6086,6090,-1,5244.465,5260.505,-16.039999999999964
6123,6124,6128,-1,5283.145,5275.045,8.100000000000364
6204,6205,6209,-1,5184.675,5126.645,58.029999999999745
6402,6403,6407,-1,5078.555,5069.635,8.920000000000073
6628,6629,6633,-1,5111.675,5115.815,-4.139999999999418
6776,6777,6781,-1,5097.515,5098.045,-0.5299999999997453
6962,6963,6967,1,5151.155,5152.935,1.7800000000006548
6969,6970,6974,-1,5153.578,5154.425,-0.8469999999997526
6980,6981,6985,1,5159.635,5147.985,-11.650000000000546
6993,6994,6998,-1,5144.805,5152.525,-7.719999999999345
7141,7142,7146,-1,5171.955,5178.265,-6.3100000000004
7148,7149,7153,1,5173.875,5173.535,-0.3400000000001455
7215,7216,7220,1,5164.215,5156.095,-8.11999999999989
7231,7232,7236,1,5161.985,5161.615,-0.36999999999989086
7296,7297,7301,-1,5150.245,5146.205,4.039999999999964
7384,7385,7389,1,5157.408,5149.898,-7.510000000000218
7446,7447,7451,1,5161.568,5167.785,6.2169999999996435
7508,7509,7513,1,5194.465,5197.658,3.193000000000211
7518,7519,7523,-1,5192.208,5188.585,3.6229999999995925
7651,7652,7656,-1,5171.885,5170.725,1.1599999999998545
7660,7661,7665,1,5160.775,5167.835,7.0600000000004
7681,7682,7686,1,5177.135,5180.765,3.630000000000109
7699,7700,7704,1,5186.655,5189.355,2.699999999999818
7748,7749,7753,1,5173.915,5165.035,-8.88000000000011
7754,7755,7759,1,5166.935,5169.185,2.25
7764,7765,7769,1,5164.095,5171.975,7.880000000000109
7771,7772,7776,-1,5179.745,5177.195,2.550000000000182
7827,7828,7832,1,5154.558,5159.589,5.030999999999949
7839,7840,7844,-1,5151.038,5140.958,10.079999999999927
8101,8102,8106,-1,5136.235,5132.465,3.769999999999527
8123,8124,8128,1,5131.445,5136.995,5.550000000000182
8131,8132,8136,1,5139.538,5141.508,1.9700000000002547
8339,8340,8344,1,5174.715,5176.295,1.5799999999999272
8347,8348,8352,1,5180.265,5179.715,-0.5500000000001819
8354,8355,8359,-1,5176.935,5177.045,-0.10999999999967258
8369,8370,8374,1,5175.615,5172.925,-2.6899999999996
8381,8382,8386,1,5173.155,5175.845,2.6900000000005093
8395,8396,8400,-1,5170.885,5175.535,-4.649999999999636
8424,8425,8429,-1,5180.695,5186.155,-5.460000000000036
8548,8549,8553,1,5178.145,5177.315,-0.8300000000008367
8610,8611,8615,-1,5169.285,5165.858,3.42699999999968
8624,8625,8629,1,5167.435,5160.575,-6.860000000000582
8631,8632,8636,1,5158.435,5156.065,-2.3700000000008004
8646,8647,8651,1,5146.805,5132.405,-14.400000000000546
8653,8654,8658,-1,5132.315,5135.065,-2.75
8724,8725,8729,1,5164.055,5166.568,2.51299999999992
8731,8732,8736,1,5164.628,5162.478,-2.149999999999636
8819,8820,8824,-1,5165.738,5165.735,0.0030000000006111804
9062,9063,9067,-1,5155.625,5156.475,-0.8500000000003638
9076,9077,9081,1,5137.525,5096.255,-41.26999999999953
9086,9087,9091,1,5112.405,5128.865,16.460000000000036
9160,9161,9165,-1,5102.485,5097.485,5.0
9171,9172,9176,-1,5100.145,5100.765,-0.6199999999998909
9184,9185,9189,-1,5095.375,5067.695,27.68000000000029
9329,9330,9334,-1,5074.715,5062.285,12.430000000000291
9337,9338,9342,-1,5063.915,5062.025,1.8900000000003274
9457,9458,9462,-1,5061.228,5065.565,-4.336999999999534
9700,9701,9705,1,5077.765,5081.935,4.170000000000073
9718,9719,9723,1,5074.825,5079.905,5.079999999999927
