signal_idx,entry_idx,exit_idx,direction,entry,exit,pnl
339,340,344,1,5197.348,5202.498,5.149999999999636
368,369,373,-1,5184.335,5185.798,-1.462999999999738
591,592,596,1,5193.005,5189.548,-3.4570000000003347
670,671,675,-1,5165.175,5163.595,1.5799999999999272
676,677,681,-1,5156.625,5159.995,-3.369999999999891
753,754,758,-1,5180.555,5182.575,-2.019999999999527
872,873,877,1,5179.425,5162.938,-16.48700000000008
879,880,884,-1,5159.728,5174.815,-15.086999999999534
1169,1170,1174,1,5202.295,5202.185,-0.10999999999967258
1202,1203,1207,-1,5199.645,5203.698,-4.052999999999884
1216,1217,1221,-1,5185.485,5184.705,0.7799999999997453
1250,1251,1255,1,5176.545,5174.845,-1.699999999999818
1258,1259,1263,-1,5150.805,5159.345,-8.539999999999964
1443,1444,1448,1,5196.795,5187.255,-9.539999999999964
1463,1464,1468,-1,5184.285,5179.665,4.619999999999891
1725,1726,1730,-1,5196.635,5193.315,3.3200000000006185
1864,1865,1869,-1,5180.868,5183.425,-2.556999999999789
1887,1888,1892,-1,5177.245,5174.975,2.269999999999527
1909,1910,1914,1,5179.375,5178.165,-1.2100000000000364
2039,2040,2044,1,5171.175,5173.615,2.4399999999996
2101,2102,2106,-1,5159.898,5167.315,-7.416999999999462
2164,2165,2169,-1,5175.585,5172.215,3.369999999999891
2222,2223,2227,1,5169.205,5162.958,-6.247000000000298
2250,2251,2255,-1,5145.625,5167.248,-21.622999999999593
2256,2257,2261,1,5173.095,5164.545,-8.550000000000182
2315,2316,2320,1,5161.748,5166.695,4.947000000000116
2494,2495,2499,-1,5167.345,5175.165,-7.819999999999709
2760,2761,2765,-1,5181.395,5180.255,1.1400000000003274
2770,2771,2775,1,5185.205,5185.785,0.5799999999999272
2793,2794,2798,-1,5181.758,5173.815,7.943000000000211
2881,2882,2886,-1,5192.535,5196.565,-4.029999999999745
2888,2889,2893,-1,5195.255,5193.508,1.7470000000002983
3096,3097,3101,-1,5190.348,5192.348,-2.0
3123,3124,3128,-1,5192.745,5194.295,-1.550000000000182
3240,3241,3245,1,5179.215,5180.855,1.639999999999418
3527,3528,3532,-1,5183.195,5183.765,-0.5700000000006185
3540,3541,3545,1,5190.495,5194.375,3.880000000000109
3981,3982,3986,1,5259.555,5260.498,0.9429999999993015
4017,4018,4022,-1,5261.838,5259.205,2.632999999999811
4097,4098,4102,1,5355.155,5355.635,0.48000000000047294
4202,4203,4207,-1,5316.455,5326.985,-10.529999999999745
4568,4569,4573,1,5400.565,5405.745,5.180000000000291
4662,4663,4667,-1,5397.895,5408.905,-11.009999999999309
4844,4845,4849,-1,5376.105,5380.285,-4.180000000000291
4921,4922,4926,1,5395.548,5406.315,10.766999999999825
4928,4929,4933,-1,5397.115,5383.878,13.23700000000008
4946,4947,4951,-1,5397.549,5411.565,-14.015999999999622
5001,5002,5006,-1,5348.925,5322.265,26.659999999999854
5007,5008,5012,1,5331.655,5307.825,-23.829999999999927
5134,5135,5139,-1,5285.728,5307.948,-22.220000000000255
5349,5350,5354,1,5342.588,5340.965,-1.6229999999995925
