tf,edge,direction,entry_time,atr,liq,minute,agree,boost,entry,exit,pnl
M1,IMBALANCE,-1,2026-07-27 05:34:00+00:00,1.5760714285715298,False,2026-07-27 05:34:00+00:00,1,1.0,4087.145,4088.775,-1.6300000000001091
M1,IMBALANCE,-1,2026-07-27 05:46:00+00:00,1.7353571428571481,False,2026-07-27 05:46:00+00:00,1,1.0,4084.475,4086.365,-1.8899999999998727
M1,IMBALANCE,1,2026-07-27 11:31:00+00:00,1.6774999999999767,True,2026-07-27 11:31:00+00:00,1,1.0,4099.905,4098.215,-1.6899999999995998
M1,IMBALANCE,-1,2026-07-27 12:11:00+00:00,1.4339285714285583,False,2026-07-27 12:11:00+00:00,1,1.0,4091.115,4088.165,2.949999999999818
M1,IMBALANCE,-1,2026-07-27 12:14:00+00:00,1.9121428571428558,False,2026-07-27 12:14:00+00:00,1,1.0,4087.265,4089.265,-2.0
M5,ABSORPTION,-1,2026-07-27 12:55:00+00:00,4.331428571428693,False,2026-07-27 12:55:00+00:00,1,1.0,4082.705,4084.185,-1.4800000000000182
M5,ABSORPTION,-1,2026-07-27 13:05:00+00:00,4.628214285714356,False,2026-07-27 13:05:00+00:00,1,1.0,4083.575,4083.945,-0.3700000000003456
M1,IMBALANCE,-1,2026-07-27 13:07:00+00:00,2.8128571428572156,False,2026-07-27 13:07:00+00:00,1,1.0,4082.055,4084.885,-2.830000000000382
M5,ABSORPTION,-1,2026-07-27 13:10:00+00:00,4.803928571428644,False,2026-07-27 13:10:00+00:00,1,1.0,4083.375,4088.195,-4.820000000000164
M5,ABSORPTION,-1,2026-07-27 13:15:00+00:00,5.038571428571491,False,2026-07-27 13:15:00+00:00,1,1.0,4084.765,4084.205,0.5599999999999454
M5,ABSORPTION,-1,2026-07-27 13:20:00+00:00,5.261428571428594,False,2026-07-27 13:20:00+00:00,1,1.0,4083.535,4084.515,-0.9800000000000182
M1,IMBALANCE,-1,2026-07-27 13:29:00+00:00,2.3510714285714585,False,2026-07-27 13:29:00+00:00,1,1.0,4076.495,4078.935,-2.4400000000000546
M5,ABSORPTION,-1,2026-07-27 13:45:00+00:00,5.488928571428557,False,2026-07-27 13:45:00+00:00,1,1.0,4086.645,4087.755,-1.1100000000001273
M5,ABSORPTION,-1,2026-07-27 13:50:00+00:00,5.605714285714222,False,2026-07-27 13:50:00+00:00,1,1.0,4087.175,4084.155,3.019999999999982
M5,ABSORPTION,-1,2026-07-27 14:05:00+00:00,6.54214285714277,False,2026-07-27 14:05:00+00:00,1,1.0,4075.315,4077.475,-2.1599999999998545
M5,ABSORPTION,-1,2026-07-27 14:20:00+00:00,6.482499999999878,False,2026-07-27 14:20:00+00:00,1,1.0,4076.065,4074.115,1.9500000000002728
M5,ABSORPTION,-1,2026-07-27 14:40:00+00:00,6.059999999999913,False,2026-07-27 14:40:00+00:00,1,1.0,4067.795,4069.315,-1.5199999999999818
M1,IMBALANCE,1,2026-07-27 16:26:00+00:00,1.8482142857141233,False,2026-07-27 16:26:00+00:00,1,1.0,4088.685,4086.695,-1.9899999999997817
M1,IMBALANCE,-1,2026-07-28 00:05:00+00:00,1.5396428571427805,False,2026-07-28 00:05:00+00:00,1,1.0,4065.475,4067.145,-1.6700000000000728
M1,IMBALANCE,-1,2026-07-28 00:06:00+00:00,1.6574999999999298,False,2026-07-28 00:06:00+00:00,1,1.0,4062.965,4064.685,-1.7199999999998
M1,IMBALANCE,-1,2026-07-28 00:16:00+00:00,2.3396428571428323,False,2026-07-28 00:16:00+00:00,1,1.0,4064.985,4066.075,-1.0899999999996908
M1,IMBALANCE,-1,2026-07-28 05:33:00+00:00,1.7221428571428663,False,2026-07-28 05:33:00+00:00,1,1.0,4038.635,4037.275,1.3600000000001273
M1,IMBALANCE,-1,2026-07-28 05:35:00+00:00,1.8357142857143702,False,2026-07-28 05:35:00+00:00,1,1.0,4037.045,4037.515,-0.4699999999997999
M1,IMBALANCE,1,2026-07-28 08:07:00+00:00,1.8400000000000156,False,2026-07-28 08:07:00+00:00,1,1.0,4055.015,4053.135,-1.8799999999996544
M1,IMBALANCE,-1,2026-07-28 09:58:00+00:00,2.0921428571427896,False,2026-07-28 09:58:00+00:00,1,1.0,4020.645,4022.745,-2.099999999999909
M1,IMBALANCE,1,2026-07-28 13:01:00+00:00,1.8571428571427597,False,2026-07-28 13:01:00+00:00,1,1.0,4032.315,4031.295,-1.0199999999999818
M1,IMBALANCE,-1,2026-07-28 13:56:00+00:00,2.7000000000000455,False,2026-07-28 13:56:00+00:00,1,1.0,4024.165,4026.905,-2.7400000000002365
M1,IMBALANCE,-1,2026-07-28 14:22:00+00:00,2.8471428571428987,False,2026-07-28 14:22:00+00:00,1,1.0,4013.235,4016.105,-2.869999999999891
M5,ABSORPTION,-1,2026-07-28 14:35:00+00:00,6.526785714285746,False,2026-07-28 14:35:00+00:00,1,1.0,4020.195,4020.535,-0.33999999999969077
M5,ABSORPTION,-1,2026-07-28 14:40:00+00:00,6.2771428571428975,False,2026-07-28 14:40:00+00:00,1,1.0,4019.905,4023.185,-3.2799999999997453
