tf,edge,direction,entry_time,atr,liq,minute,agree,boost,entry,exit,pnl
M1,IMBALANCE,-1,2026-07-27 05:34:00+00:00,1.5760714285715298,False,2026-07-27 05:34:00+00:00,1,1.0,4087.145,4089.285,-2.1399999999998727
M1,IMBALANCE,-1,2026-07-27 05:46:00+00:00,1.7353571428571481,False,2026-07-27 05:46:00+00:00,1,1.0,4084.475,4087.025,-2.550000000000182
M1,IMBALANCE,1,2026-07-27 11:31:00+00:00,1.6774999999999767,True,2026-07-27 11:31:00+00:00,1,1.0,4099.905,4098.065,-1.8400000000001455
M1,IMBALANCE,-1,2026-07-27 12:11:00+00:00,1.4339285714285583,False,2026-07-27 12:11:00+00:00,1,1.0,4091.115,4087.525,3.5899999999996908
M1,IMBALANCE,-1,2026-07-27 12:14:00+00:00,1.9121428571428558,False,2026-07-27 12:14:00+00:00,1,1.0,4087.265,4086.795,0.4699999999997999
M5,ABSORPTION,-1,2026-07-27 12:55:00+00:00,4.331428571428693,False,2026-07-27 12:55:00+00:00,1,1.0,4082.705,4084.185,-1.4800000000000182
M5,ABSORPTION,-1,2026-07-27 13:05:00+00:00,4.628214285714356,False,2026-07-27 13:05:00+00:00,1,1.0,4083.575,4083.945,-0.3700000000003456
M1,IMBALANCE,-1,2026-07-27 13:07:00+00:00,2.8128571428572156,False,2026-07-27 13:07:00+00:00,1,1.0,4082.055,4084.645,-2.5900000000001455
M5,ABSORPTION,-1,2026-07-27 13:10:00+00:00,4.803928571428644,False,2026-07-27 13:10:00+00:00,1,1.0,4083.375,4085.425,-2.050000000000182
M5,ABSORPTION,-1,2026-07-27 13:15:00+00:00,5.038571428571491,False,2026-07-27 13:15:00+00:00,1,1.0,4084.765,4084.205,0.5599999999999454
M5,ABSORPTION,-1,2026-07-27 13:20:00+00:00,5.261428571428594,False,2026-07-27 13:20:00+00:00,1,1.0,4083.535,4084.515,-0.9800000000000182
M1,IMBALANCE,-1,2026-07-27 13:29:00+00:00,2.3510714285714585,False,2026-07-27 13:29:00+00:00,1,1.0,4076.495,4078.795,-2.300000000000182
M5,ABSORPTION,-1,2026-07-27 13:45:00+00:00,5.488928571428557,False,2026-07-27 13:45:00+00:00,1,1.0,4086.645,4087.755,-1.1100000000001273
M5,ABSORPTION,-1,2026-07-27 13:50:00+00:00,5.605714285714222,False,2026-07-27 13:50:00+00:00,1,1.0,4087.175,4084.155,3.019999999999982
M5,ABSORPTION,-1,2026-07-27 14:05:00+00:00,6.54214285714277,False,2026-07-27 14:05:00+00:00,1,1.0,4075.315,4077.475,-2.1599999999998545
M5,ABSORPTION,-1,2026-07-27 14:20:00+00:00,6.482499999999878,False,2026-07-27 14:20:00+00:00,1,1.0,4076.065,4074.115,1.9500000000002728
M5,ABSORPTION,-1,2026-07-27 14:40:00+00:00,6.059999999999913,False,2026-07-27 14:40:00+00:00,1,1.0,4067.795,4069.315,-1.5199999999999818
M1,IMBALANCE,1,2026-07-27 16:26:00+00:00,1.8482142857141233,False,2026-07-27 16:26:00+00:00,1,1.0,4088.685,4089.125,0.44000000000005457
M1,IMBALANCE,-1,2026-07-28 00:05:00+00:00,1.5396428571427805,False,2026-07-28 00:05:00+00:00,1,1.0,4065.475,4067.395,-1.9200000000000728
M1,IMBALANCE,-1,2026-07-28 00:06:00+00:00,1.6574999999999298,False,2026-07-28 00:06:00+00:00,1,1.0,4062.965,4066.255,-3.2899999999999636
M1,IMBALANCE,-1,2026-07-28 00:16:00+00:00,2.3396428571428323,False,2026-07-28 00:16:00+00:00,1,1.0,4064.985,4066.075,-1.0899999999996908
M1,IMBALANCE,-1,2026-07-28 05:33:00+00:00,1.7221428571428663,False,2026-07-28 05:33:00+00:00,1,1.0,4038.635,4038.015,0.6200000000003456
M1,IMBALANCE,-1,2026-07-28 05:35:00+00:00,1.8357142857143702,False,2026-07-28 05:35:00+00:00,1,1.0,4037.045,4037.515,-0.4699999999997999
M1,IMBALANCE,1,2026-07-28 08:07:00+00:00,1.8400000000000156,False,2026-07-28 08:07:00+00:00,1,1.0,4055.015,4043.935,-11.079999999999927
M1,IMBALANCE,-1,2026-07-28 09:58:00+00:00,2.0921428571427896,False,2026-07-28 09:58:00+00:00,1,1.0,4020.645,4024.975,-4.329999999999927
M1,IMBALANCE,1,2026-07-28 13:01:00+00:00,1.8571428571427597,False,2026-07-28 13:01:00+00:00,1,1.0,4032.315,4031.295,-1.0199999999999818
M1,IMBALANCE,-1,2026-07-28 13:56:00+00:00,2.7000000000000455,False,2026-07-28 13:56:00+00:00,1,1.0,4024.165,4026.315,-2.150000000000091
M1,IMBALANCE,-1,2026-07-28 14:22:00+00:00,2.8471428571428987,False,2026-07-28 14:22:00+00:00,1,1.0,4013.235,4018.295,-5.059999999999945
