tf,edge,direction,entry_time,atr,liq,minute,agree,boost,entry,exit,pnl
M1,IMBALANCE,-1,2026-07-27 05:34:00+00:00,1.5760714285715298,False,2026-07-27 05:34:00+00:00,1,1.0,4087.145,4087.685,-0.5399999999999636
M1,IMBALANCE,-1,2026-07-27 05:46:00+00:00,1.7353571428571481,False,2026-07-27 05:46:00+00:00,1,1.0,4084.475,4085.055,-0.5799999999999272
M1,IMBALANCE,1,2026-07-27 11:31:00+00:00,1.6774999999999767,True,2026-07-27 11:31:00+00:00,1,1.0,4099.905,4099.155,-0.75
M1,IMBALANCE,-1,2026-07-27 12:11:00+00:00,1.4339285714285583,False,2026-07-27 12:11:00+00:00,1,1.0,4091.115,4091.675,-0.5600000000004002
M1,IMBALANCE,-1,2026-07-27 12:14:00+00:00,1.9121428571428558,False,2026-07-27 12:14:00+00:00,1,1.0,4087.265,4087.855,-0.5900000000001455
M5,ABSORPTION,-1,2026-07-27 12:55:00+00:00,4.331428571428693,False,2026-07-27 12:55:00+00:00,1,1.0,4082.705,4084.075,-1.3699999999998909
M5,ABSORPTION,-1,2026-07-27 13:05:00+00:00,4.628214285714356,False,2026-07-27 13:05:00+00:00,1,1.0,4083.575,4085.185,-1.6100000000001273
M1,IMBALANCE,-1,2026-07-27 13:07:00+00:00,2.8128571428572156,False,2026-07-27 13:07:00+00:00,1,1.0,4082.055,4082.975,-0.9200000000000728
M5,ABSORPTION,-1,2026-07-27 13:10:00+00:00,4.803928571428644,False,2026-07-27 13:10:00+00:00,1,1.0,4083.375,4082.415,0.9600000000000364
M5,ABSORPTION,-1,2026-07-27 13:15:00+00:00,5.038571428571491,False,2026-07-27 13:15:00+00:00,1,1.0,4084.765,4086.425,-1.6600000000003092
M5,ABSORPTION,-1,2026-07-27 13:20:00+00:00,5.261428571428594,False,2026-07-27 13:20:00+00:00,1,1.0,4083.535,4083.685,-0.15000000000009095
M1,IMBALANCE,-1,2026-07-27 13:29:00+00:00,2.3510714285714585,False,2026-07-27 13:29:00+00:00,1,1.0,4076.495,4077.225,-0.7300000000000182
M5,ABSORPTION,-1,2026-07-27 13:45:00+00:00,5.488928571428557,False,2026-07-27 13:45:00+00:00,1,1.0,4086.645,4088.295,-1.650000000000091
M5,ABSORPTION,-1,2026-07-27 13:50:00+00:00,5.605714285714222,False,2026-07-27 13:50:00+00:00,1,1.0,4087.175,4088.865,-1.6899999999995998
M5,ABSORPTION,-1,2026-07-27 14:05:00+00:00,6.54214285714277,False,2026-07-27 14:05:00+00:00,1,1.0,4075.315,4075.115,0.20000000000027285
M5,ABSORPTION,-1,2026-07-27 14:20:00+00:00,6.482499999999878,False,2026-07-27 14:20:00+00:00,1,1.0,4076.065,4074.475,1.5900000000001455
M5,ABSORPTION,-1,2026-07-27 14:40:00+00:00,6.059999999999913,False,2026-07-27 14:40:00+00:00,1,1.0,4067.795,4067.005,0.7899999999999636
M1,IMBALANCE,1,2026-07-27 16:26:00+00:00,1.8482142857141233,False,2026-07-27 16:26:00+00:00,1,1.0,4088.685,4087.905,-0.7799999999997453
M1,IMBALANCE,-1,2026-07-28 00:05:00+00:00,1.5396428571427805,False,2026-07-28 00:05:00+00:00,1,1.0,4065.475,4067.145,-1.6700000000000728
M1,IMBALANCE,-1,2026-07-28 00:06:00+00:00,1.6574999999999298,False,2026-07-28 00:06:00+00:00,1,1.0,4062.965,4063.695,-0.7300000000000182
M1,IMBALANCE,-1,2026-07-28 00:16:00+00:00,2.3396428571428323,False,2026-07-28 00:16:00+00:00,1,1.0,4064.985,4065.855,-0.8699999999998909
M1,IMBALANCE,-1,2026-07-28 05:33:00+00:00,1.7221428571428663,False,2026-07-28 05:33:00+00:00,1,1.0,4038.635,4039.165,-0.5299999999997453
M1,IMBALANCE,-1,2026-07-28 05:35:00+00:00,1.8357142857143702,False,2026-07-28 05:35:00+00:00,1,1.0,4037.045,4037.985,-0.9400000000000546
M1,IMBALANCE,1,2026-07-28 08:07:00+00:00,1.8400000000000156,False,2026-07-28 08:07:00+00:00,1,1.0,4055.015,4054.365,-0.650000000000091
M1,IMBALANCE,-1,2026-07-28 09:58:00+00:00,2.0921428571427896,False,2026-07-28 09:58:00+00:00,1,1.0,4020.645,4020.115,0.5300000000002001
M1,IMBALANCE,1,2026-07-28 13:01:00+00:00,1.8571428571427597,False,2026-07-28 13:01:00+00:00,1,1.0,4032.315,4031.715,-0.599999999999909
M1,IMBALANCE,-1,2026-07-28 13:56:00+00:00,2.7000000000000455,False,2026-07-28 13:56:00+00:00,1,1.0,4024.165,4024.125,0.03999999999996362
M1,IMBALANCE,-1,2026-07-28 14:22:00+00:00,2.8471428571428987,False,2026-07-28 14:22:00+00:00,1,1.0,4013.235,4014.145,-0.9099999999998545
M5,ABSORPTION,-1,2026-07-28 14:35:00+00:00,6.526785714285746,False,2026-07-28 14:35:00+00:00,1,1.0,4020.195,4022.205,-2.0099999999997635
M5,ABSORPTION,-1,2026-07-28 14:40:00+00:00,6.2771428571428975,False,2026-07-28 14:40:00+00:00,1,1.0,4019.905,4021.875,-1.9699999999998
M1,IMBALANCE,1,2026-07-28 15:21:00+00:00,3.6889285714286024,False,2026-07-28 15:21:00+00:00,1,1.0,4039.825,4038.665,-1.1599999999998545
M5,ABSORPTION,-1,2026-07-28 15:25:00+00:00,5.820000000000034,True,2026-07-28 15:25:00+00:00,1,1.0,4035.615,4037.445,-1.830000000000382
M1,IMBALANCE,-1,2026-07-28 23:04:00+00:00,1.0739285714285611,False,2026-07-28 23:04:00+00:00,1,1.0,4016.495,4017.985,-1.4900000000002365
M1,IMBALANCE,-1,2026-07-29 01:05:00+00:00,2.351071428571361,False,2026-07-29 01:05:00+00:00,1,1.0,4011.545,4012.405,-0.8600000000001273
M1,IMBALANCE,1,2026-07-29 05:34:00+00:00,1.4785714285713831,False,2026-07-29 05:34:00+00:00,1,1.0,4032.595,4031.835,-0.7599999999997635
M1,IMBALANCE,1,2026-07-29 05:42:00+00:00,1.7689285714284975,False,2026-07-29 05:42:00+00:00,1,1.0,4034.015,4033.465,-0.5499999999997272
M1,IMBALANCE,-1,2026-07-29 12:17:00+00:00,1.5439285714285234,False,2026-07-29 12:17:00+00:00,1,1.0,4022.095,4022.765,-0.6700000000000728
M1,IMBALANCE,-1,2026-07-29 12:20:00+00:00,2.1778571428570297,False,2026-07-29 12:20:00+00:00,1,1.0,4018.675,4019.415,-0.7399999999997817
M1,IMBALANCE,-1,2026-07-29 14:01:00+00:00,3.4664285714285534,False,2026-07-29 14:01:00+00:00,1,1.0,4002.975,4004.255,-1.2800000000002
M1,IMBALANCE,1,2026-07-29 16:56:00+00:00,1.9153571428572118,False,2026-07-29 16:56:00+00:00,1,1.0,4029.535,4028.845,-0.6900000000000546
M1,IMBALANCE,1,2026-07-29 16:57:00+00:00,2.0775000000001,False,2026-07-29 16:57:00+00:00,1,1.0,4032.025,4031.365,-0.6600000000003092
M1,IMBALANCE,1,2026-07-29 17:01:00+00:00,2.5325000000000273,False,2026-07-29 17:01:00+00:00,1,1.0,4030.655,4030.975,0.31999999999970896
