config,filters,N,N_per_day,WR,PF,RF,net_profit,return_pct,daily_return_pct,max_dd_pct,max_dd_usd,final_balance,delta_N_vs_base,delta_WR_vs_base,delta_PF_vs_base,delta_RF_vs_base,delta_return_pct_vs_base,delta_max_dd_pct_vs_base
BASE,NONE,713,33.95238095238095,50.771388499298745,1.1464324707700226,2.7468021156128777,176.83500000000186,17.683500000000187,0.8420714285714375,6.365694848888525,64.37850000000662,1176.8350000000019,0,0.0,0.0,0.0,0.0,0.0
TREND,TREND,314,14.952380952380953,51.27388535031847,1.4105939384384982,2.9458504170791664,208.36000000000013,20.836000000000013,0.9921904761904768,6.454497752834342,70.72999999999683,1208.3600000000001,-399,0.5024968510197283,0.2641614676684756,0.1990483014662887,3.1524999999998258,0.08880290394581714
REGIME,REGIME,669,31.857142857142858,50.52316890881914,1.1524959512344388,2.8190687396794814,176.6950000000029,17.66950000000029,0.8414047619047758,6.2030897430823435,62.678500000000895,1176.695000000003,-44,-0.24821959047960718,0.006063480464416182,0.07226662406660367,-0.013999999999896318,-0.1626051058061817
SPREAD,SPREAD,303,14.428571428571429,51.15511551155115,1.0247984779508597,0.19790498910349472,11.033500000003187,1.1033500000003187,0.05254047619049137,5.383887400110906,55.75149999999849,1011.0335000000032,-410,0.38372701225240746,-0.12163399281916298,-2.548897126509383,-16.58014999999987,-0.9818074487776194
SESSION,SESSION,453,21.571428571428573,52.09713024282561,1.2226821939361021,3.388011380358903,172.66999999999507,17.26699999999951,0.8222380952380719,5.067614596798372,50.965000000001055,1172.669999999995,-260,1.3257417435268621,0.07624972316607947,0.6412092647460255,-0.4165000000006778,-1.2980802520901529
TREND_REGIME,TREND+REGIME,301,14.333333333333334,51.82724252491694,1.4389130992053376,3.379519974735789,214.0250000000019,21.40250000000019,1.0191666666666759,5.7850145013583765,63.32999999999538,1214.025000000002,-412,1.0558540256181956,0.29248062843531497,0.6327178591229115,3.7190000000000047,-0.5806803475301487
TREND_SPREAD,TREND+SPREAD,116,5.523809523809524,50.86206896551724,0.9223849548814919,-0.3168828187766367,-13.805000000003474,-1.3805000000003473,-0.06573809523811178,4.347088553281929,43.56499999999778,986.1949999999965,-597,0.0906804662184939,-0.22404751588853078,-3.0636849343895145,-19.064000000000533,-2.018606295606596
REGIME_SPREAD,REGIME+SPREAD,276,13.142857142857142,50.0,1.0143456850785741,0.11337266562247594,6.04350000000386,0.604350000000386,0.02877857142858981,5.179511844380421,53.30649999999423,1006.0435000000039,-437,-0.7713884992987445,-0.1320867856914485,-2.633429449990402,-17.0791499999998,-1.1861830045081039
TREND_REGIME_SPREAD,TREND+REGIME+SPREAD,109,5.190476190476191,51.37614678899083,0.9429557389347216,-0.22094374709443362,-9.505000000001928,-0.9505000000001929,-0.04526190476191395,4.292706290879976,43.01999999999725,990.4949999999981,-604,0.6047582896920858,-0.20347673183530102,-2.967745862707311,-18.63400000000038,-2.072988558008549
TREND_REGIME_SPREAD_SESSION,TREND+REGIME+SPREAD+SESSION,59,2.8095238095238093,52.54237288135594,1.0699217195169695,0.1549772092337613,5.26999999999407,0.526999999999407,0.02509523809520986,3.373478437713931,34.00500000000011,1005.2699999999941,-654,1.7709843820571933,-0.07651075125305318,-2.5918249063791166,-17.15650000000078,-2.9922164111745944
