tf,edge,direction,entry_time,exit_time,entry,exit,pnl
M1,IMBALANCE,-1,2026-07-27 05:16:00.278000+00:00,2026-07-27 05:21:00.105000+00:00,4092.215,4091.065,1.150000000000091
M1,IMBALANCE,-1,2026-07-27 05:46:00.138000+00:00,2026-07-27 05:51:00.124000+00:00,4084.79,4086.6800000000003,-1.8900000000003274
M1,IMBALANCE,1,2026-07-27 08:01:00.159000+00:00,2026-07-27 08:06:00.124000+00:00,4092.005,4089.0,-3.005000000000109
M1,IMBALANCE,-1,2026-07-27 10:11:00.095000+00:00,2026-07-27 10:16:00.107000+00:00,4091.24,4089.59,1.6499999999996362
M1,IMBALANCE,-1,2026-07-27 10:12:00.329000+00:00,2026-07-27 10:17:01.948000+00:00,4086.6949999999997,4091.38,-4.6850000000004
M1,IMBALANCE,1,2026-07-27 13:31:00.102000+00:00,2026-07-27 13:36:00.107000+00:00,4079.7200000000003,4081.395,1.6749999999997272
M1,IMBALANCE,-1,2026-07-27 13:56:00.044000+00:00,2026-07-27 14:01:00.133000+00:00,4079.795,4073.045,6.75
M1,IMBALANCE,-1,2026-07-28 00:16:00.173000+00:00,2026-07-28 00:21:00.283000+00:00,4065.37,4065.6949999999997,-0.3249999999998181
M1,IMBALANCE,-1,2026-07-28 05:33:00.153000+00:00,2026-07-28 05:38:01.182000+00:00,4038.995,4037.64,1.3550000000000182
M1,IMBALANCE,1,2026-07-28 13:49:00.020000+00:00,2026-07-28 13:54:00.050000+00:00,4025.385,4026.9700000000003,1.5850000000000364
M1,IMBALANCE,-1,2026-07-28 13:56:00.146000+00:00,2026-07-28 14:01:01.264000+00:00,4024.45,4026.0150000000003,-1.5650000000005093
M1,IMBALANCE,-1,2026-07-28 14:22:00.001000+00:00,2026-07-28 14:27:00.034000+00:00,4013.5550000000003,4018.045,-4.489999999999782
M1,IMBALANCE,-1,2026-07-28 17:22:00.532000+00:00,2026-07-28 17:27:00.079000+00:00,4038.615,4038.24,0.375
M1,IMBALANCE,-1,2026-07-28 23:46:00.051000+00:00,2026-07-28 23:51:00.114000+00:00,4021.2700000000004,4022.8900000000003,-1.6199999999998909
M1,IMBALANCE,-1,2026-07-29 00:01:00.259000+00:00,2026-07-29 00:06:00.325000+00:00,4018.1499999999996,4021.3999999999996,-3.25
M1,IMBALANCE,-1,2026-07-29 00:09:00.030000+00:00,2026-07-29 00:14:00.143000+00:00,4019.74,4021.615,-1.875
M1,IMBALANCE,-1,2026-07-29 01:05:00.002000+00:00,2026-07-29 01:10:00.117000+00:00,4011.92,4015.295,-3.375
M1,IMBALANCE,-1,2026-07-29 05:57:00.295000+00:00,2026-07-29 06:02:01.394000+00:00,4032.12,4035.51,-3.3900000000003274
M1,IMBALANCE,-1,2026-07-29 08:25:00.111000+00:00,2026-07-29 08:30:00.135000+00:00,4037.755,4037.37,0.3850000000002183
M1,IMBALANCE,-1,2026-07-29 12:20:00.089000+00:00,2026-07-29 12:25:00.163000+00:00,4018.98,4016.105,2.875
M1,IMBALANCE,1,2026-07-30 01:02:00.129000+00:00,2026-07-30 01:07:00.158000+00:00,4076.415,4092.19,15.775000000000091
M1,IMBALANCE,1,2026-07-30 01:03:00.103000+00:00,2026-07-30 01:08:00.040000+00:00,4081.955,4092.005,10.050000000000182
M1,IMBALANCE,-1,2026-07-30 01:13:00.104000+00:00,2026-07-30 01:18:00.018000+00:00,4080.005,4074.57,5.434999999999945
M1,IMBALANCE,-1,2026-07-30 01:18:00.018000+00:00,2026-07-30 01:23:00.074000+00:00,4074.57,4079.02,-4.449999999999818
M1,IMBALANCE,-1,2026-07-30 05:19:00.338000+00:00,2026-07-30 05:24:00.773000+00:00,4039.385,4043.965,-4.579999999999927
M1,IMBALANCE,-1,2026-07-30 12:53:00.080000+00:00,2026-07-30 12:58:00.188000+00:00,4069.4750000000004,4072.0150000000003,-2.5399999999999636
M1,IMBALANCE,1,2026-07-31 00:04:00.393000+00:00,2026-07-31 00:09:00.899000+00:00,4105.174999999999,4102.6849999999995,-2.4899999999997817
M1,IMBALANCE,-1,2026-07-31 00:06:00.455000+00:00,2026-07-31 00:11:00.095000+00:00,4103.51,4103.735,-0.2249999999994543
M1,IMBALANCE,1,2026-07-31 00:24:00.769000+00:00,2026-07-31 00:29:00.102000+00:00,4102.91,4096.610000000001,-6.299999999999272
M1,IMBALANCE,-1,2026-07-31 00:29:00.102000+00:00,2026-07-31 00:34:00.130000+00:00,4096.610000000001,4094.075,2.535000000000764
M1,IMBALANCE,-1,2026-07-31 00:32:00.419000+00:00,2026-07-31 00:37:00.014000+00:00,4095.3100000000004,4092.4799999999996,2.8300000000008367
M1,IMBALANCE,-1,2026-07-31 01:15:00.084000+00:00,2026-07-31 01:20:00.200000+00:00,4089.07,4094.065,-4.994999999999891
M1,IMBALANCE,-1,2026-07-31 05:39:00.298000+00:00,2026-07-31 05:44:00.079000+00:00,4077.965,4077.8050000000003,0.15999999999985448
M1,IMBALANCE,1,2026-07-31 05:40:00.026000+00:00,2026-07-31 05:45:00.974000+00:00,4079.935,4076.415,-3.519999999999982
M1,IMBALANCE,-1,2026-07-31 05:41:00.318000+00:00,2026-07-31 05:46:00.147000+00:00,4077.95,4075.615,2.3350000000000364
M1,IMBALANCE,1,2026-07-31 06:17:00.079000+00:00,2026-07-31 06:22:00.293000+00:00,4085.515,4084.9449999999997,-0.5700000000001637
M1,IMBALANCE,1,2026-07-31 08:56:00.016000+00:00,2026-07-31 09:01:00.083000+00:00,4060.945,4062.9750000000004,2.0300000000002
M1,IMBALANCE,-1,2026-07-31 09:05:00.079000+00:00,2026-07-31 09:10:00.002000+00:00,4060.6549999999997,4057.81,2.8449999999998
M1,IMBALANCE,-1,2026-07-31 12:32:00.046000+00:00,2026-07-31 12:37:00.088000+00:00,4048.585,4048.235,0.34999999999990905
M1,IMBALANCE,-1,2026-07-31 13:06:00.126000+00:00,2026-07-31 13:11:00.127000+00:00,4036.855,4037.9449999999997,-1.0899999999996908
M1,IMBALANCE,-1,2026-07-31 19:51:00.149000+00:00,2026-07-31 19:56:00.213000+00:00,4053.0550000000003,4050.915,2.1400000000003274
M1,IMBALANCE,-1,2026-07-31 19:53:00.004000+00:00,2026-07-31 19:58:00.090000+00:00,4051.3549999999996,4052.08,-0.7250000000003638
M1,IMBALANCE,-1,2026-08-03 05:11:00.055000+00:00,2026-08-03 05:16:00.424000+00:00,4058.365,4056.56,1.8049999999998363
M1,IMBALANCE,-1,2026-08-03 05:35:00.455000+00:00,2026-08-03 05:40:00.218000+00:00,4056.545,4057.505,-0.9600000000000364
M1,IMBALANCE,1,2026-08-03 05:38:00.365000+00:00,2026-08-03 05:43:00.277000+00:00,4057.955,4063.06,5.105000000000018
M1,IMBALANCE,1,2026-08-03 05:59:00.170000+00:00,2026-08-03 06:04:02.730000+00:00,4069.495,4068.5249999999996,-0.9700000000002547
M1,IMBALANCE,-1,2026-08-03 07:18:00.077000+00:00,2026-08-03 07:23:00.107000+00:00,4054.915,4055.2200000000003,-0.30500000000029104
M1,IMBALANCE,-1,2026-08-03 09:22:00.147000+00:00,2026-08-03 09:27:00.107000+00:00,4055.085,4053.3950000000004,1.6899999999995998
M1,IMBALANCE,1,2026-08-04 00:01:00.004000+00:00,2026-08-04 00:06:00.248000+00:00,4057.295,4059.9799999999996,2.6849999999994907
M1,IMBALANCE,1,2026-08-04 00:02:00.536000+00:00,2026-08-04 00:07:00.109000+00:00,4061.455,4059.76,-1.694999999999709
M1,IMBALANCE,1,2026-08-04 00:09:00.158000+00:00,2026-08-04 00:14:00.102000+00:00,4063.47,4063.95,0.4800000000000182
M1,IMBALANCE,1,2026-08-04 00:10:00.236000+00:00,2026-08-04 00:15:00.129000+00:00,4067.385,4063.3900000000003,-3.994999999999891
M1,IMBALANCE,-1,2026-08-04 00:21:00.680000+00:00,2026-08-04 00:26:00.209000+00:00,4060.685,4058.84,1.8449999999998
M1,IMBALANCE,-1,2026-08-04 01:03:00.037000+00:00,2026-08-04 01:08:00.759000+00:00,4046.8900000000003,4044.0200000000004,2.869999999999891
M1,IMBALANCE,-1,2026-08-04 01:06:00.128000+00:00,2026-08-04 01:11:01.030000+00:00,4044.9449999999997,4046.24,-1.2950000000000728
M1,IMBALANCE,1,2026-08-04 01:36:00.039000+00:00,2026-08-04 01:41:00.010000+00:00,4051.825,4054.41,2.5850000000000364
