tf,edge,direction,entry_time,exit_time,entry,exit,pnl
M1,IMBALANCE,1,2026-07-27 08:01:00.159000+00:00,2026-07-27 08:06:00.124000+00:00,4092.005,4089.0,-3.005000000000109
M1,IMBALANCE,-1,2026-07-27 10:11:00.095000+00:00,2026-07-27 10:16:00.107000+00:00,4091.24,4089.59,1.6499999999996362
M1,IMBALANCE,-1,2026-07-27 10:12:00.329000+00:00,2026-07-27 10:17:01.948000+00:00,4086.6949999999997,4091.38,-4.6850000000004
M1,IMBALANCE,1,2026-07-27 10:13:00.121000+00:00,2026-07-27 10:18:00.135000+00:00,4089.42,4090.935,1.5149999999998727
M1,IMBALANCE,1,2026-07-27 11:31:00.167000+00:00,2026-07-27 11:36:00.347000+00:00,4099.625,4098.385,-1.2399999999997817
M1,IMBALANCE,-1,2026-07-27 12:11:00.003000+00:00,2026-07-27 12:16:00.057000+00:00,4091.395,4087.23,4.164999999999964
M1,IMBALANCE,-1,2026-07-27 12:14:00.268000+00:00,2026-07-27 12:19:00.123000+00:00,4087.575,4086.46,1.1149999999997817
M1,IMBALANCE,1,2026-07-27 13:03:00.093000+00:00,2026-07-27 13:08:00+00:00,4088.3599999999997,4084.38,-3.9799999999995634
M1,IMBALANCE,-1,2026-07-27 13:07:00.078000+00:00,2026-07-27 13:12:00.014000+00:00,4082.4049999999997,4084.3050000000003,-1.9000000000005457
M1,IMBALANCE,-1,2026-07-27 13:29:00.046000+00:00,2026-07-27 13:34:00.101000+00:00,4076.8450000000003,4078.545,-1.699999999999818
M1,IMBALANCE,1,2026-07-27 13:31:00.102000+00:00,2026-07-27 13:36:00.107000+00:00,4079.7200000000003,4081.395,1.6749999999997272
M1,IMBALANCE,1,2026-07-27 13:39:00.008000+00:00,2026-07-27 13:44:00.129000+00:00,4085.705,4085.425,-0.27999999999974534
M1,IMBALANCE,-1,2026-07-27 13:56:00.044000+00:00,2026-07-27 14:01:00.133000+00:00,4079.795,4073.045,6.75
