tf,edge,direction,entry_time,exit_time,entry,exit,pnl
M1,IMBALANCE,-1,2026-07-27 05:34:00.209000+00:00,2026-07-27 05:39:04.286000+00:00,4087.52,4088.91,-1.3899999999998727
M1,IMBALANCE,-1,2026-07-27 05:46:00.138000+00:00,2026-07-27 05:51:00.124000+00:00,4084.79,4086.6800000000003,-1.8900000000003274
M1,IMBALANCE,1,2026-07-27 11:31:00.167000+00:00,2026-07-27 11:36:00.347000+00:00,4099.625,4098.385,-1.2399999999997817
M1,IMBALANCE,-1,2026-07-27 12:11:00.003000+00:00,2026-07-27 12:16:00.057000+00:00,4091.395,4087.23,4.164999999999964
M1,IMBALANCE,-1,2026-07-27 12:14:00.268000+00:00,2026-07-27 12:19:00.123000+00:00,4087.575,4086.46,1.1149999999997817
M1,IMBALANCE,-1,2026-07-27 13:07:00.078000+00:00,2026-07-27 13:12:00.014000+00:00,4082.4049999999997,4084.3050000000003,-1.9000000000005457
M1,IMBALANCE,-1,2026-07-27 13:29:00.046000+00:00,2026-07-27 13:34:00.101000+00:00,4076.8450000000003,4078.545,-1.699999999999818
M1,IMBALANCE,1,2026-07-27 16:26:00.002000+00:00,2026-07-27 16:31:00.122000+00:00,4088.3450000000003,4089.465,1.1199999999998909
M1,IMBALANCE,-1,2026-07-28 00:05:00.035000+00:00,2026-07-28 00:10:00.017000+00:00,4066.26,4067.01,-0.75
M1,IMBALANCE,-1,2026-07-28 00:06:00.193000+00:00,2026-07-28 00:11:00.283000+00:00,4063.38,4065.865,-2.4849999999996726
M1,IMBALANCE,-1,2026-07-28 00:16:00.173000+00:00,2026-07-28 00:21:00.283000+00:00,4065.37,4065.6949999999997,-0.3249999999998181
M1,IMBALANCE,-1,2026-07-28 05:33:00.153000+00:00,2026-07-28 05:38:01.182000+00:00,4038.995,4037.64,1.3550000000000182
M1,IMBALANCE,-1,2026-07-28 05:35:00.662000+00:00,2026-07-28 05:40:00.164000+00:00,4037.425,4037.135,0.2899999999999636
M1,IMBALANCE,1,2026-07-28 08:07:00.679000+00:00,2026-07-28 08:12:00.282000+00:00,4054.7,4044.26,-10.4399999999996
M1,IMBALANCE,-1,2026-07-28 09:58:00.168000+00:00,2026-07-28 10:03:00.262000+00:00,4020.955,4024.665,-3.7100000000000364
M1,IMBALANCE,1,2026-07-28 13:01:00.129000+00:00,2026-07-28 13:06:00.155000+00:00,4032.005,4031.62,-0.3850000000002183
M1,IMBALANCE,-1,2026-07-28 13:56:00.146000+00:00,2026-07-28 14:01:01.264000+00:00,4024.45,4026.0150000000003,-1.5650000000005093
M1,IMBALANCE,-1,2026-07-28 14:22:00.001000+00:00,2026-07-28 14:27:00.034000+00:00,4013.5550000000003,4018.045,-4.489999999999782
M1,IMBALANCE,1,2026-07-28 15:21:00.122000+00:00,2026-07-28 15:26:00.286000+00:00,4039.54,4037.1549999999997,-2.3850000000002183
M1,IMBALANCE,-1,2026-07-28 23:04:00.144000+00:00,2026-07-28 23:09:00.119000+00:00,4017.24,4019.25,-2.0100000000002183
M1,IMBALANCE,-1,2026-07-29 01:05:00.002000+00:00,2026-07-29 01:10:00.117000+00:00,4011.92,4015.295,-3.375
M1,IMBALANCE,1,2026-07-29 05:34:00.171000+00:00,2026-07-29 05:39:00.679000+00:00,4032.21,4031.24,-0.9700000000002547
M1,IMBALANCE,1,2026-07-29 05:42:00.123000+00:00,2026-07-29 05:47:00.052000+00:00,4033.59,4035.785,2.194999999999709
M1,IMBALANCE,-1,2026-07-29 12:17:00.168000+00:00,2026-07-29 12:22:00.070000+00:00,4022.39,4017.545,4.8449999999998
