tf,edge,direction,entry_time,exit_time,entry,exit,pnl
M1,IMBALANCE,-1,2026-07-28 13:56:00.146000+00:00,2026-07-28 14:01:01.264000+00:00,4024.45,4026.0150000000003,-1.5650000000005093
M1,IMBALANCE,-1,2026-07-28 14:22:00.001000+00:00,2026-07-28 14:27:00.034000+00:00,4013.5550000000003,4018.045,-4.489999999999782
M1,IMBALANCE,-1,2026-07-29 12:20:00.089000+00:00,2026-07-29 12:25:00.163000+00:00,4018.98,4016.105,2.875
M1,IMBALANCE,-1,2026-07-31 09:05:00.079000+00:00,2026-07-31 09:10:00.002000+00:00,4060.6549999999997,4057.81,2.8449999999998
M1,IMBALANCE,-1,2026-07-31 12:32:00.046000+00:00,2026-07-31 12:37:00.088000+00:00,4048.585,4048.235,0.34999999999990905
M1,IMBALANCE,-1,2026-07-31 13:06:00.126000+00:00,2026-07-31 13:11:00.127000+00:00,4036.855,4037.9449999999997,-1.0899999999996908
M1,IMBALANCE,-1,2026-08-03 07:18:00.077000+00:00,2026-08-03 07:23:00.107000+00:00,4054.915,4055.2200000000003,-0.30500000000029104
M1,IMBALANCE,-1,2026-08-03 09:22:00.147000+00:00,2026-08-03 09:27:00.107000+00:00,4055.085,4053.3950000000004,1.6899999999995998
M1,IMBALANCE,1,2026-08-04 07:02:00.068000+00:00,2026-08-04 07:07:00.226000+00:00,4065.0950000000003,4064.6549999999997,-0.4400000000005093
M1,IMBALANCE,1,2026-08-04 11:33:00.050000+00:00,2026-08-04 11:38:00.149000+00:00,4064.73,4062.385,-2.3449999999998
M1,IMBALANCE,1,2026-08-04 13:49:00.124000+00:00,2026-08-04 13:54:00.103000+00:00,4092.535,4089.465,-3.069999999999709
M1,IMBALANCE,1,2026-08-04 17:06:00.036000+00:00,2026-08-04 17:11:00.250000+00:00,4105.125,4098.225,-6.899999999999636
M1,IMBALANCE,1,2026-08-05 12:21:00.009000+00:00,2026-08-05 12:26:00.276000+00:00,4209.04,4209.4400000000005,0.4000000000005457
M1,IMBALANCE,-1,2026-08-06 11:24:00.100000+00:00,2026-08-06 11:29:02.732000+00:00,4261.415,4263.585,-2.1700000000000728
M1,IMBALANCE,-1,2026-08-06 11:49:00.295000+00:00,2026-08-06 11:54:00.145000+00:00,4256.334999999999,4255.965,0.36999999999898137
M1,IMBALANCE,-1,2026-08-06 12:09:00.009000+00:00,2026-08-06 12:14:00.403000+00:00,4259.110000000001,4258.110000000001,1.0
M1,IMBALANCE,-1,2026-08-06 12:22:01.203000+00:00,2026-08-06 12:27:00.093000+00:00,4260.695,4258.8,1.894999999999527
M1,IMBALANCE,1,2026-08-07 08:32:00.204000+00:00,2026-08-07 08:37:00.319000+00:00,4300.049999999999,4301.955,1.9050000000006548
M1,IMBALANCE,-1,2026-08-10 13:03:00.094000+00:00,2026-08-10 13:08:00.323000+00:00,4326.795,4331.264999999999,-4.469999999999345
